% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.098165845e+06 +1.098165845e+06 +1.098201745e+06 +1.098201745e+06
29 +9.951662637e+05 +9.951662637e+05 +9.952021637e+05 +9.952021637e+05
244 +6.193220952e+05 +6.193220952e+05 +6.193579952e+05 +6.193579952e+05
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.908071280e+05 +7.908071280e+05 +7.908384980e+05 +7.908384980e+05
79 +6.107877210e+05 +6.107877210e+05 +6.108190910e+05 +6.108190910e+05
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.983240318e+05 +5.983240318e+05 +5.973240318e+05 +5.973240318e+05
154 +3.929776914e+05 +3.929776914e+05 +3.919776914e+05 +3.919776914e+05
% function evaluation | noise-free fitness - Fopt (1.319200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.232243385e+05 +8.232243385e+05 +8.233562585e+05 +8.233562585e+05
45 +5.986380381e+05 +5.986380381e+05 +5.987699581e+05 +5.987699581e+05
% function evaluation | noise-free fitness - Fopt (5.908400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.374687197e+06 +1.374687197e+06 +1.375278037e+06 +1.375278037e+06
363 +9.957992941e+05 +9.957992941e+05 +9.963901341e+05 +9.963901341e+05
% function evaluation | noise-free fitness - Fopt (-1.280000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.094116784e+06 +1.094116784e+06 +1.094103984e+06 +1.094103984e+06
45 +9.770053381e+05 +9.770053381e+05 +9.769925381e+05 +9.769925381e+05
690 +6.308963877e+05 +6.308963877e+05 +6.308835877e+05 +6.308835877e+05
% function evaluation | noise-free fitness - Fopt (-1.061000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.737068589e+06 +1.737068589e+06 +1.737057979e+06 +1.737057979e+06
26 +1.540916317e+06 +1.540916317e+06 +1.540905707e+06 +1.540905707e+06
% function evaluation | noise-free fitness - Fopt (-1.844000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.456128443e+05 +7.456128443e+05 +7.454284443e+05 +7.454284443e+05
51 +6.171849862e+05 +6.171849862e+05 +6.170005862e+05 +6.170005862e+05
% function evaluation | noise-free fitness - Fopt (-5.188000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.532144725e+06 +1.532144725e+06 +1.532092845e+06 +1.532092845e+06
% function evaluation | noise-free fitness - Fopt (6.980000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.806496851e+05 +5.806496851e+05 +5.807194851e+05 +5.807194851e+05
82 +3.675986055e+05 +3.675986055e+05 +3.676684055e+05 +3.676684055e+05
% function evaluation | noise-free fitness - Fopt (1.105400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.069426998e+06 +1.069426998e+06 +1.069537538e+06 +1.069537538e+06
14 +9.566223300e+05 +9.566223300e+05 +9.567328700e+05 +9.567328700e+05
263 +6.262905002e+05 +6.262905002e+05 +6.264010402e+05 +6.264010402e+05
% function evaluation | noise-free fitness - Fopt (6.121000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.159602297e+05 +6.159602297e+05 +6.165723297e+05 +6.165723297e+05
277 +3.927335835e+05 +3.927335835e+05 +3.933456835e+05 +3.933456835e+05
% function evaluation | noise-free fitness - Fopt (-4.657200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.439004497e+06 +1.439004497e+06 +1.438538777e+06 +1.438538777e+06
588 +9.997009500e+05 +9.997009500e+05 +9.992352300e+05 +9.992352300e+05
% function evaluation | noise-free fitness - Fopt (1.306000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.176943001e+06 +1.176943001e+06 +1.176956061e+06 +1.176956061e+06
129 +9.907492608e+05 +9.907492608e+05 +9.907623208e+05 +9.907623208e+05
% function evaluation | noise-free fitness - Fopt (2.655000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.009375932e+06 +1.009375932e+06 +1.009402482e+06 +1.009402482e+06
2 +9.091788131e+05 +9.091788131e+05 +9.092053631e+05 +9.092053631e+05
116 +6.296396554e+05 +6.296396554e+05 +6.296662054e+05 +6.296662054e+05
