% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
16 +3.931137092e+01 +3.931137092e+01 +5.294137092e+01 +5.294137092e+01 +8.4806e-01 +5.8935e-01 +8.2729e-01 +5.4513e-01 +3.8996e-01
255 +2.403654716e+01 +2.403654716e+01 +3.766654716e+01 +3.766654716e+01 +7.1773e-01 +6.8828e-01 +8.3601e-01 +6.2394e-01 +1.8997e-02
616 +1.404602050e+01 +1.404602050e+01 +2.767602050e+01 +2.767602050e+01 +7.8186e-01 +5.3278e-01 +8.7132e-01 +5.4690e-01 +2.6708e-02
% function evaluation | noise-free fitness - Fopt (-3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.809876211e+01 +9.809876211e+01 +6.091876211e+01 +6.091876211e+01 +2.4158e-01 +5.8329e-01 +9.4153e-01 +6.3619e-01 +4.2765e-01
20 +5.133987262e+01 +5.133987262e+01 +1.415987262e+01 +1.415987262e+01 +7.3219e-01 +8.1550e-02 +9.6540e-01 +7.0063e-01 +6.5894e-01
194 +3.169549812e+01 +3.169549812e+01 -5.484501883e+00 -5.484501883e+00 +9.2480e-01 +5.7260e-02 +3.7041e-01 +3.8362e-01 +0.0000e+00
1190 +2.504341300e+01 +2.504341300e+01 -1.213658700e+01 -1.213658700e+01 +7.7077e-01 +1.2468e-01 +6.6156e-01 +7.8349e-01 +6.0748e-02
% function evaluation | noise-free fitness - Fopt (2.275200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.813944681e+01 +7.813944681e+01 +3.056594468e+02 +3.056594468e+02 +4.1236e-01 +8.9574e-01 +8.8722e-01 +8.2252e-01 +7.3473e-01
4 +3.986972960e+01 +3.986972960e+01 +2.673897296e+02 +2.673897296e+02 +9.1225e-01 +3.3938e-01 +7.2663e-01 +3.3639e-01 +3.3120e-01
23 +3.362513567e+01 +3.362513567e+01 +2.611451357e+02 +2.611451357e+02 +1.0000e+00 +2.1543e-01 +4.1101e-01 +1.3601e-01 +5.3409e-02
