% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
76 +7.293643260e-02 +7.293643260e-02 -1.310706357e+01 -1.310706357e+01 +3.0470e-01 +1.4615e-02
81 +5.427135680e-02 +5.427135680e-02 -1.312572864e+01 -1.312572864e+01 +3.1635e-01 +2.4144e-02
349 +3.942611051e-02 +3.942611051e-02 -1.314057389e+01 -1.314057389e+01 +3.3324e-01 +7.7029e-03
% function evaluation | noise-free fitness - Fopt (-6.052000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.139003657e+02 +1.139003657e+02 +5.338036569e+01 +5.338036569e+01 +8.2163e-01 +3.0718e-01
3 +3.259445587e+01 +3.259445587e+01 -2.792554413e+01 -2.792554413e+01 +3.7913e-01 +3.4394e-01
5 +3.087254200e-01 +3.087254200e-01 -6.021127458e+01 -6.021127458e+01 +1.5951e-02 +1.4227e-01
17 +2.909052680e-02 +2.909052680e-02 -6.049090947e+01 -6.049090947e+01 +3.8435e-01 +3.8777e-02
36 +2.123551545e-02 +2.123551545e-02 -6.049876448e+01 -6.049876448e+01 +4.6835e-01 +0.0000e+00
92 +1.401066076e-02 +1.401066076e-02 -6.050598934e+01 -6.050598934e+01 +4.8229e-01 +1.5588e-04
% function evaluation | noise-free fitness - Fopt (1.844000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.517437335e+00 +8.517437335e+00 +1.929174373e+02 +1.929174373e+02 +2.8303e-01 +3.7019e-01
2 +4.947350884e+00 +4.947350884e+00 +1.893473509e+02 +1.893473509e+02 +8.8707e-01 +7.1527e-02
3 +7.030772838e-01 +7.030772838e-01 +1.851030773e+02 +1.851030773e+02 +5.7277e-01 +7.9052e-02
5 +6.306058600e-01 +6.306058600e-01 +1.850306059e+02 +1.850306059e+02 +2.4502e-01 +1.2795e-01
66 +3.356124712e-01 +3.356124712e-01 +1.847356125e+02 +1.847356125e+02 +4.4429e-02 +1.4412e-01
124 +2.318489939e-01 +2.318489939e-01 +1.846318490e+02 +1.846318490e+02 +9.3298e-02 +1.6017e-01
136 +1.467962308e-01 +1.467962308e-01 +1.845467962e+02 +1.845467962e+02 +0.0000e+00 +1.7117e-01
% function evaluation | noise-free fitness - Fopt (2.277700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.063920081e+02 +1.063920081e+02 +3.341620081e+02 +3.341620081e+02 +5.9767e-01 +5.7959e-01
2 +5.347410823e+01 +5.347410823e+01 +2.812441082e+02 +2.812441082e+02 +5.9708e-01 +2.7184e-01
4 +2.717427218e+01 +2.717427218e+01 +2.549442722e+02 +2.549442722e+02 +4.5878e-02 +2.1609e-01
22 +1.812048064e+01 +1.812048064e+01 +2.458904806e+02 +2.458904806e+02 +2.4315e-01 +0.0000e+00
41 +1.450262875e+01 +1.450262875e+01 +2.422726287e+02 +2.422726287e+02 +1.6079e-01 +0.0000e+00
42 +6.500000000e+00 +6.500000000e+00 +2.342700000e+02 +2.342700000e+02 +0.0000e+00 +0.0000e+00
49 +5.914611024e+00 +5.914611024e+00 +2.336846110e+02 +2.336846110e+02 +1.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (9.640000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.723028167e+00 +2.723028167e+00 +9.912302817e+01 +9.912302817e+01 +7.7773e-01 +8.3808e-01
2 +2.407942824e+00 +2.407942824e+00 +9.880794282e+01 +9.880794282e+01 +8.1033e-01 +6.8958e-01
40 +7.430377042e-01 +7.430377042e-01 +9.714303770e+01 +9.714303770e+01 +5.9724e-01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-9.045000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.575105492e+01 +5.575105492e+01 -3.469894508e+01 -3.469894508e+01 +5.2415e-01 +3.5790e-01
2 +7.065469693e+00 +7.065469693e+00 -8.338453031e+01 -8.338453031e+01 +3.3276e-01 +1.6167e-01
26 +1.587371232e-01 +1.587371232e-01 -9.029126288e+01 -9.029126288e+01 +8.0792e-02 +1.3484e-01
73 +1.396435893e-01 +1.396435893e-01 -9.031035641e+01 -9.031035641e+01 +1.0084e-01 +1.2975e-01
89 +8.751776575e-02 +8.751776575e-02 -9.036248223e+01 -9.036248223e+01 +0.0000e+00 +2.0457e-01
% function evaluation | noise-free fitness - Fopt (3.995000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.038722976e+02 +1.038722976e+02 +1.438222976e+02 +1.438222976e+02 +3.3384e-01 +6.1598e-01
4 +8.583786050e+01 +8.583786050e+01 +1.257878605e+02 +1.257878605e+02 +1.9647e-01 +6.0873e-01
6 +5.387304877e+01 +5.387304877e+01 +9.382304877e+01 +9.382304877e+01 +8.5851e-01 +3.7370e-01
9 +5.423505279e+00 +5.423505279e+00 +4.537350528e+01 +4.537350528e+01 +1.7005e-02 +3.0135e-01
13 +4.620975881e-02 +4.620975881e-02 +3.999620976e+01 +3.999620976e+01 +3.5148e-01 +1.4890e-01
22 +6.686725911e-03 +6.686725911e-03 +3.995668673e+01 +3.995668673e+01 +5.5232e-01 +1.3072e-01
106 +1.784559160e-03 +1.784559160e-03 +3.995178456e+01 +3.995178456e+01 +6.3042e-01 +1.2017e-01
367 +1.084196179e-03 +1.084196179e-03 +3.995108420e+01 +3.995108420e+01 +6.3121e-01 +1.2083e-01
615 +3.483217799e-04 +3.483217799e-04 +3.995034832e+01 +3.995034832e+01 +7.2860e-01 +1.0602e-01
887 +1.337801040e-04 +1.337801040e-04 +3.995013378e+01 +3.995013378e+01 +6.7697e-01 +1.1440e-01
1000 +6.155211217e-06 +6.155211217e-06 +3.995000616e+01 +3.995000616e+01 +6.9549e-01 +1.1097e-01
1421 +3.199212685e-06 +3.199212685e-06 +3.995000320e+01 +3.995000320e+01 +6.9450e-01 +1.1122e-01
1721 +2.505828959e-06 +2.505828959e-06 +3.995000251e+01 +3.995000251e+01 +6.9493e-01 +1.1115e-01
1820 +1.440401164e-06 +1.440401164e-06 +3.995000144e+01 +3.995000144e+01 +6.9603e-01 +1.1095e-01
1876 +1.182759561e-07 +1.182759561e-07 +3.995000012e+01 +3.995000012e+01 +6.9907e-01 +1.1047e-01
2161 +8.563873166e-08 +8.563873166e-08 +3.995000009e+01 +3.995000009e+01 +6.9835e-01 +1.1057e-01
2181 +2.394462228e-08 +2.394462228e-08 +3.995000002e+01 +3.995000002e+01 +6.9835e-01 +1.1059e-01
2261 +3.777110180e-09 +3.777110180e-09 +3.995000000e+01 +3.995000000e+01 +6.9827e-01 +1.1060e-01
3142 +2.298016000e-09 +2.298016000e-09 +3.995000000e+01 +3.995000000e+01 +6.9830e-01 +1.1059e-01
3221 +1.389608428e-09 +1.389608428e-09 +3.995000000e+01 +3.995000000e+01 +6.9833e-01 +1.1059e-01
3243 +9.762430864e-10 +9.762430864e-10 +3.995000000e+01 +3.995000000e+01 +6.9834e-01 +1.1059e-01
3541 +5.163585115e-10 +5.163585115e-10 +3.995000000e+01 +3.995000000e+01 +6.9836e-01 +1.1058e-01
3763 +2.701625590e-10 +2.701625590e-10 +3.995000000e+01 +3.995000000e+01 +6.9837e-01 +1.1058e-01
3783 +1.913278425e-10 +1.913278425e-10 +3.995000000e+01 +3.995000000e+01 +6.9838e-01 +1.1058e-01
