% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
111 +3.672336181e+01 +3.672336181e+01 +9.206336181e+01 +9.206336181e+01 +7.6590e-01 +9.6567e-01 +1.2093e-01 +0.0000e+00 +5.9406e-02 +0.0000e+00 +3.2438e-01 +1.7592e-01 +9.9161e-01 +4.9474e-02
350 +2.480741337e+01 +2.480741337e+01 +8.014741337e+01 +8.014741337e+01 +6.1042e-01 +9.3082e-01 +1.8014e-02 +0.0000e+00 +2.9635e-02 +3.8972e-03 +4.6399e-01 +2.3585e-01 +9.9605e-01 +8.1169e-03
% function evaluation | noise-free fitness - Fopt (-9.033000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.084775704e+03 +3.084775704e+03 +2.994445704e+03 +2.994445704e+03 +5.6485e-01 +8.3247e-01 +5.1719e-01 +7.6688e-01 +8.9148e-01 +7.2411e-01 +4.1908e-02 +9.0110e-01 +6.9651e-01 +5.6585e-01
2 +6.967586724e+02 +6.967586724e+02 +6.064286724e+02 +6.064286724e+02 +4.8058e-01 +7.1296e-01 +1.4382e-01 +1.4798e-01 +6.3377e-01 +2.4297e-02 +1.1424e-01 +3.9274e-01 +1.4559e-01 +3.7814e-01
14 +3.637870572e+02 +3.637870572e+02 +2.734570572e+02 +2.734570572e+02 +5.0105e-01 +2.8008e-01 +7.2620e-01 +5.4129e-02 +4.5779e-01 +1.9498e-01 +1.8910e-01 +1.6531e-02 +1.4575e-01 +5.9071e-02
52 +1.934949141e+02 +1.934949141e+02 +1.031649141e+02 +1.031649141e+02 +2.4164e-01 +0.0000e+00 +5.9374e-01 +6.0959e-01 +4.1724e-01 +0.0000e+00 +4.5323e-01 +4.0289e-02 +2.0048e-01 +3.7773e-03
61 +1.225544925e+02 +1.225544925e+02 +3.222449252e+01 +3.222449252e+01 +0.0000e+00 +1.1192e-01 +0.0000e+00 +4.2561e-02 +5.7444e-01 +1.0194e-01 +7.2261e-01 +0.0000e+00 +0.0000e+00 +1.6245e-01
86 +7.264451702e+01 +7.264451702e+01 -1.768548298e+01 -1.768548298e+01 +0.0000e+00 +0.0000e+00 +1.8789e-02 +1.3632e-01 +3.8355e-01 +3.9703e-02 +3.9947e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00
143 +6.273706339e+01 +6.273706339e+01 -2.759293661e+01 -2.759293661e+01 +9.0048e-02 +0.0000e+00 +4.8072e-03 +1.7833e-01 +4.4680e-01 +1.3892e-01 +4.3684e-01 +0.0000e+00 +2.2903e-01 +3.9618e-01
248 +3.816833442e+01 +3.816833442e+01 -5.216166558e+01 -5.216166558e+01 +7.0111e-03 +0.0000e+00 +1.6185e-02 +8.4313e-02 +2.2791e-01 +0.0000e+00 +4.2718e-01 +0.0000e+00 +0.0000e+00 +3.1496e-01
% function evaluation | noise-free fitness - Fopt (6.561000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.560209349e+02 +5.560209349e+02 +6.216309349e+02 +6.216309349e+02 +6.6582e-02 +2.6133e-01 +3.1046e-01 +3.2063e-02 +4.4654e-02 +5.4130e-01 +7.6116e-01 +3.9015e-01 +4.6926e-01 +9.7661e-01
6 +2.087502471e+02 +2.087502471e+02 +2.743602471e+02 +2.743602471e+02 +4.7350e-01 +6.2963e-02 +1.8128e-01 +6.6272e-03 +2.9121e-01 +3.1071e-01 +4.1254e-01 +4.4228e-01 +2.7220e-01 +1.1008e-01
57 +1.460914789e+02 +1.460914789e+02 +2.117014789e+02 +2.117014789e+02 +4.3295e-01 +3.3640e-01 +0.0000e+00 +2.3426e-01 +0.0000e+00 +5.1146e-01 +0.0000e+00 +4.0156e-01 +0.0000e+00 +5.0000e-01
77 +7.501828184e+01 +7.501828184e+01 +1.406282818e+02 +1.406282818e+02 +0.0000e+00 +2.9485e-01 +1.2217e-01 +0.0000e+00 +0.0000e+00 +1.8001e-01 +0.0000e+00 +8.7064e-02 +0.0000e+00 +1.0563e-01
97 +6.070155272e+01 +6.070155272e+01 +1.263115527e+02 +1.263115527e+02 +0.0000e+00 +2.9586e-01 +2.6806e-01 +8.1116e-02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
306 +3.831982642e+01 +3.831982642e+01 +1.039298264e+02 +1.039298264e+02 +0.0000e+00 +4.0756e-02 +9.5268e-01 +1.7722e-01 +0.0000e+00 +3.6051e-01 +5.9677e-02 +4.6032e-03 +6.8498e-02 +6.7336e-02
% function evaluation | noise-free fitness - Fopt (-1.536000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.662003149e+02 +1.662003149e+02 +1.508403149e+02 +1.508403149e+02 +6.9758e-01 +6.4760e-03 +7.1607e-02 +7.0864e-01 +2.1292e-01 +4.1765e-01 +1.0540e-01 +3.7238e-01 +7.2765e-01 +4.3470e-01
39 +1.027867133e+02 +1.027867133e+02 +8.742671328e+01 +8.742671328e+01 +1.7768e-01 +6.8585e-02 +2.7502e-01 +5.8668e-01 +1.8557e-01 +8.0975e-02 +3.6755e-01 +0.0000e+00 +2.6018e-01 +0.0000e+00
64 +8.323278664e+01 +8.323278664e+01 +6.787278664e+01 +6.787278664e+01 +5.4383e-01 +9.6284e-02 +0.0000e+00 +4.6696e-01 +9.3875e-03 +1.2612e-02 +0.0000e+00 +5.5472e-01 +5.2306e-01 +2.2077e-01
91 +5.903597635e+01 +5.903597635e+01 +4.367597635e+01 +4.367597635e+01 +5.7795e-01 +2.1548e-01 +1.0544e-01 +3.7234e-01 +0.0000e+00 +1.3053e-01 +1.4979e-01 +2.6119e-01 +3.7555e-01 +2.7774e-01
182 +3.435124394e+01 +3.435124394e+01 +1.899124394e+01 +1.899124394e+01 +8.0517e-01 +4.6992e-02 +0.0000e+00 +4.4060e-01 +0.0000e+00 +1.0734e-01 +2.4575e-01 +2.6987e-01 +1.3294e-01 +5.2293e-03
% function evaluation | noise-free fitness - Fopt (-1.318000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.446808978e+02 +4.446808978e+02 +4.315008978e+02 +4.315008978e+02 +7.9010e-01 +8.2987e-01 +5.1386e-01 +5.5926e-01 +2.3090e-01 +5.2559e-01 +3.0738e-01 +1.0622e-01 +6.6134e-01 +3.2791e-01
8 +2.933392673e+02 +2.933392673e+02 +2.801592673e+02 +2.801592673e+02 +4.1651e-01 +2.3699e-02 +7.3202e-01 +7.7126e-01 +9.1036e-01 +4.9228e-01 +2.2474e-01 +2.8889e-02 +1.6031e-01 +4.7047e-01
23 +1.855912190e+02 +1.855912190e+02 +1.724112190e+02 +1.724112190e+02 +2.6859e-01 +3.6782e-01 +5.1008e-01 +7.6832e-01 +4.5899e-01 +3.3125e-02 +5.7174e-01 +2.3291e-02 +2.9654e-01 +0.0000e+00
71 +1.487094267e+02 +1.487094267e+02 +1.355294267e+02 +1.355294267e+02 +2.3764e-01 +1.4333e-01 +4.0105e-01 +1.0000e+00 +3.8412e-01 +5.4392e-01 +0.0000e+00 +3.0807e-01 +0.0000e+00 +0.0000e+00
135 +9.176869756e+01 +9.176869756e+01 +7.858869756e+01 +7.858869756e+01 +6.4859e-03 +4.1524e-01 +6.9261e-01 +1.0000e+00 +2.5042e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
203 +6.244314058e+01 +6.244314058e+01 +4.926314058e+01 +4.926314058e+01 +0.0000e+00 +0.0000e+00 +1.3690e-02 +1.5142e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.1204e-02 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-6.052000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.999989839e+02 +1.999989839e+02 +1.394789839e+02 +1.394789839e+02 +5.5794e-02 +8.2170e-01 +5.9931e-01 +9.0253e-01 +3.5715e-01 +1.3370e-01 +5.5952e-01 +6.2994e-01 +1.5826e-01 +7.6108e-01
36 +9.522532978e+01 +9.522532978e+01 +3.470532978e+01 +3.470532978e+01 +0.0000e+00 +4.0865e-01 +7.4884e-01 +1.3505e-01 +9.5830e-01 +9.9483e-02 +7.9076e-01 +3.7035e-01 +3.8501e-01 +0.0000e+00
77 +6.301235851e+01 +6.301235851e+01 +2.492358509e+00 +2.492358509e+00 +0.0000e+00 +2.4006e-01 +1.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +6.4651e-01 +5.3153e-01 +1.4157e-01 +7.2989e-02
% function evaluation | noise-free fitness - Fopt (1.844000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.186323745e+03 +1.186323745e+03 +1.370723745e+03 +1.370723745e+03 +3.9733e-01 +5.1859e-01 +4.5243e-01 +9.3975e-01 +6.8834e-01 +6.2878e-01 +1.7005e-02 +7.5120e-01 +9.4815e-01 +9.3347e-02
3 +7.812275260e+02 +7.812275260e+02 +9.656275260e+02 +9.656275260e+02 +4.8542e-02 +1.7260e-03 +8.4351e-01 +6.7689e-01 +9.1245e-01 +9.2828e-01 +5.3795e-01 +2.1863e-01 +6.2034e-01 +6.4837e-01
11 +4.655208169e+02 +4.655208169e+02 +6.499208169e+02 +6.499208169e+02 +2.5000e-01 +5.6612e-01 +4.8893e-01 +1.9013e-01 +5.3218e-02 +1.4034e-01 +3.3051e-01 +1.1040e-01 +9.3721e-01 +8.8411e-01
13 +2.853374802e+02 +2.853374802e+02 +4.697374802e+02 +4.697374802e+02 +2.3877e-01 +5.5993e-01 +4.6432e-01 +3.9880e-02 +3.8134e-02 +3.3354e-01 +3.0618e-02 +2.1472e-01 +2.6944e-01 +4.9366e-01
