% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
147 +9.889803505e+07 +9.889803505e+07 +9.889801695e+07 +9.889801695e+07 +0.0000e+00 +1.0000e+00 +3.9322e-01 +1.0000e+00 +8.2500e-02 +1.0000e+00 +9.5853e-01 +8.1100e-02 +7.0788e-01 +1.0000e+00 +4.5363e-02 +1.1669e-01 +2.9886e-01 +9.4166e-01 +1.0483e-01 +1.0000e+00 +0.0000e+00 +3.2798e-02 +9.7454e-01 +7.9705e-01
% function evaluation | noise-free fitness - Fopt (3.777000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.621999639e+08 +1.621999639e+08 +1.622000017e+08 +1.622000017e+08 +4.9784e-01 +1.5884e-01 +8.5005e-01 +4.2529e-01 +6.2339e-01 +8.3589e-01 +7.2594e-01 +6.7149e-01 +7.7857e-02 +1.2771e-01 +3.1042e-01 +8.1214e-01 +9.8929e-01 +2.0954e-01 +7.3667e-01 +5.8485e-01 +3.8033e-01 +1.6529e-01 +2.7903e-01 +4.8371e-01
2 +1.504981507e+08 +1.504981507e+08 +1.504981885e+08 +1.504981885e+08 +1.5444e-01 +4.4737e-01 +2.7884e-01 +2.9375e-01 +6.1202e-01 +1.9772e-01 +3.0615e-01 +5.1520e-01 +8.9378e-01 +2.6102e-01 +1.7725e-01 +3.2775e-01 +9.6029e-01 +2.4813e-01 +4.6440e-01 +5.9202e-01 +8.7387e-01 +7.6147e-01 +3.4209e-01 +7.1432e-01
87 +9.872571206e+07 +9.872571206e+07 +9.872574983e+07 +9.872574983e+07 +0.0000e+00 +4.0809e-01 +0.0000e+00 +1.7453e-01 +0.0000e+00 +4.3456e-02 +0.0000e+00 +9.0587e-01 +8.6490e-01 +7.0300e-03 +0.0000e+00 +1.0514e-01 +6.8119e-01 +9.9805e-01 +4.8341e-01 +2.9999e-01 +3.3992e-01 +1.1832e-01 +3.1352e-01 +4.1584e-01
% function evaluation | noise-free fitness - Fopt (-6.720000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.128715530e+08 +2.128715530e+08 +2.128714858e+08 +2.128714858e+08 +8.7599e-01 +3.9527e-01 +3.0570e-01 +8.0566e-01 +3.3074e-01 +7.9265e-01 +6.1871e-02 +4.1140e-01 +9.1021e-01 +5.0433e-01 +1.1268e-01 +4.2938e-01 +9.4912e-01 +9.0763e-01 +6.5530e-01 +6.4815e-01 +9.6466e-01 +6.1576e-01 +9.0803e-01 +5.0251e-02
35 +1.568609023e+08 +1.568609023e+08 +1.568608351e+08 +1.568608351e+08 +9.2948e-01 +2.1839e-01 +2.2073e-01 +4.7891e-01 +9.5980e-01 +5.7555e-01 +0.0000e+00 +3.2462e-01 +6.3024e-01 +4.9758e-01 +8.4988e-01 +8.9895e-01 +5.9969e-02 +6.8779e-01 +8.7878e-01 +8.1476e-01 +6.1477e-03 +4.7436e-01 +4.1125e-01 +2.8788e-01
% function evaluation | noise-free fitness - Fopt (-7.010000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.792444110e+08 +2.792444110e+08 +2.792444040e+08 +2.792444040e+08 +5.2890e-01 +4.8470e-01 +5.0120e-01 +2.9153e-01 +8.7617e-01 +7.3680e-01 +8.4965e-01 +8.2525e-01 +5.6068e-01 +6.8515e-01 +6.1951e-01 +5.2201e-01 +1.9056e-01 +2.2701e-01 +7.7932e-01 +5.5477e-01 +5.1478e-01 +5.4058e-01 +8.6425e-01 +3.2481e-01
4 +2.395465572e+08 +2.395465572e+08 +2.395465502e+08 +2.395465502e+08 +8.9788e-01 +8.9767e-01 +6.5587e-01 +1.1737e-02 +9.4561e-01 +4.5854e-01 +7.6694e-02 +1.4155e-01 +7.3408e-01 +7.0506e-02 +5.7704e-01 +5.4733e-01 +3.3696e-01 +4.5658e-01 +1.2246e-01 +9.9697e-01 +2.5167e-01 +4.3613e-01 +4.3120e-01 +1.2610e-01
256 +1.570002037e+08 +1.570002037e+08 +1.570001967e+08 +1.570001967e+08 +2.5740e-01 +1.0000e+00 +2.4244e-03 +1.0000e+00 +9.8019e-01 +2.3127e-02 +6.0035e-02 +3.1487e-01 +0.0000e+00 +8.8421e-01 +2.7432e-04 +8.5417e-01 +9.7087e-01 +2.6629e-01 +8.5472e-01 +1.0000e+00 +9.4737e-01 +3.2650e-02 +1.0000e+00 +6.5164e-02
% function evaluation | noise-free fitness - Fopt (-1.297300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.499458781e+08 +2.499458781e+08 +2.499457483e+08 +2.499457483e+08 +8.5085e-01 +5.1763e-02 +2.4680e-02 +2.6236e-01 +9.7742e-02 +7.7840e-01 +3.6384e-01 +2.0051e-01 +9.9428e-01 +7.2974e-01 +7.9020e-02 +2.5250e-01 +6.6210e-01 +5.7958e-01 +3.4075e-01 +2.6498e-01 +2.9930e-01 +1.0905e-01 +5.5629e-01 +2.7539e-01
87 +1.557911135e+08 +1.557911135e+08 +1.557909838e+08 +1.557909838e+08 +1.0000e+00 +1.3778e-01 +1.0000e+00 +3.1138e-03 +0.0000e+00 +1.0000e+00 +1.1094e-02 +0.0000e+00 +1.0000e+00 +0.0000e+00 +1.4182e-02 +0.0000e+00 +0.0000e+00 +4.8684e-01 +9.0409e-01 +1.0000e+00 +8.7019e-01 +0.0000e+00 +5.3184e-01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.044715886e+08 +1.044715886e+08 +1.044725886e+08 +1.044725886e+08 +4.1752e-01 +5.7621e-01 +1.8679e-01 +3.3386e-01 +5.3614e-01 +7.3800e-01 +3.8596e-02 +1.0969e-01 +9.3879e-01 +1.5446e-01 +4.7342e-01 +6.4427e-01 +6.5632e-01 +9.5316e-01 +2.7812e-01 +7.5618e-01 +9.4036e-01 +5.5852e-01 +1.5321e-01 +6.9524e-02
12 +9.778551689e+07 +9.778551689e+07 +9.778651689e+07 +9.778651689e+07 +2.9069e-01 +1.6205e-01 +8.8147e-02 +9.9379e-01 +1.8304e-01 +9.5524e-01 +3.1204e-01 +7.1371e-01 +1.2862e-01 +4.6346e-01 +7.5227e-01 +6.8856e-01 +2.1049e-01 +1.0617e-01 +1.5694e-01 +5.7629e-01 +3.6808e-01 +9.6173e-01 +5.7121e-01 +1.0379e-01
68 +5.756603338e+07 +5.756603338e+07 +5.756703338e+07 +5.756703338e+07 +0.0000e+00 +5.7131e-01 +0.0000e+00 +0.0000e+00 +1.0000e+00 +9.1533e-01 +7.4149e-01 +2.6325e-01 +0.0000e+00 +1.0000e+00 +1.0000e+00 +7.0227e-01 +3.2805e-01 +1.0000e+00 +0.0000e+00 +9.9912e-01 +9.9314e-01 +0.0000e+00 +1.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.152000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.475249863e+09 +4.475249863e+09 +4.475249748e+09 +4.475249748e+09 +6.4854e-01 +1.0668e-01 +5.0547e-01 +9.5928e-01 +8.3845e-01 +8.7556e-01 +1.6848e-01 +7.1256e-01 +6.1335e-01 +6.3464e-01 +2.8691e-01 +6.6415e-01 +8.4558e-01 +6.0771e-03 +3.0906e-01 +7.0111e-01 +5.2556e-01 +7.9962e-01 +3.3668e-01 +7.1506e-01
2 +3.261868796e+09 +3.261868796e+09 +3.261868681e+09 +3.261868681e+09 +6.1943e-01 +9.4878e-01 +7.0606e-01 +9.6878e-01 +6.9907e-01 +6.8387e-01 +2.3767e-02 +6.5834e-01 +2.3213e-02 +8.0410e-01 +8.5159e-01 +4.7704e-01 +5.0283e-01 +2.4726e-01 +8.5465e-01 +4.9268e-01 +5.4310e-01 +2.5712e-01 +7.4510e-01 +5.3010e-01
