% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.541444811e+06 +9.541444811e+06 +9.541234931e+06 +9.541234931e+06 +6.0132e-01 +9.3608e-01 +3.9676e-01 +4.0963e-01 +3.1173e-01 +3.8781e-01 +2.1525e-01 +5.2097e-01 +2.4272e-01 +1.9755e-01 +1.7153e-01 +3.2333e-01 +9.5072e-02 +5.5724e-01 +4.4604e-01 +1.0824e-01 +5.6473e-01 +4.1438e-01 +1.7161e-01 +6.0359e-01
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.691578244e+06 +9.691578244e+06 +9.691486154e+06 +9.691486154e+06 +5.9922e-01 +4.6473e-01 +5.6841e-01 +7.6240e-01 +7.4510e-01 +5.0416e-01 +7.8821e-01 +8.2720e-01 +9.5515e-01 +2.4449e-01 +8.4925e-01 +1.8060e-01 +2.1537e-01 +4.3802e-02 +4.8281e-01 +8.2896e-01 +9.6235e-01 +9.2282e-02 +3.4859e-02 +1.9286e-01
31 +5.795391346e+06 +5.795391346e+06 +5.795299256e+06 +5.795299256e+06 +0.0000e+00 +4.0098e-02 +8.9762e-02 +8.2437e-01 +2.3138e-01 +2.9114e-01 +7.4414e-01 +1.0000e+00 +0.0000e+00 +5.5681e-01 +7.8411e-01 +7.2724e-01 +0.0000e+00 +3.4829e-01 +1.0000e+00 +8.2772e-01 +0.0000e+00 +1.0000e+00 +1.0000e+00 +1.2620e-01
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.402386057e+06 +8.402386057e+06 +8.402298167e+06 +8.402298167e+06 +7.9294e-01 +2.9262e-01 +3.5109e-01 +2.0643e-01 +6.3801e-01 +2.2340e-01 +2.4828e-01 +3.7138e-01 +8.7345e-01 +1.8986e-01 +9.0653e-01 +4.9171e-01 +2.7171e-01 +7.6575e-02 +4.3300e-02 +5.9988e-01 +8.1376e-01 +6.9820e-01 +7.3574e-01 +7.0960e-01
50 +6.211153498e+06 +6.211153498e+06 +6.211065608e+06 +6.211065608e+06 +6.9457e-01 +8.9258e-01 +1.3821e-01 +7.2417e-01 +1.8908e-01 +0.0000e+00 +8.1557e-01 +1.0000e+00 +7.7869e-02 +1.0000e+00 +4.4094e-01 +0.0000e+00 +0.0000e+00 +4.9561e-02 +6.5907e-01 +5.2958e-01 +0.0000e+00 +1.0000e+00 +0.0000e+00 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.528161918e+06 +5.528161918e+06 +5.528482108e+06 +5.528482108e+06 +4.8628e-01 +3.3529e-01 +5.4453e-01 +8.2100e-01 +4.2693e-01 +1.3726e-01 +1.8765e-02 +9.6244e-01 +8.1774e-01 +7.2683e-01 +8.3939e-01 +8.5008e-01 +8.2896e-01 +4.0113e-01 +4.6863e-01 +4.5956e-01 +3.6185e-01 +5.6520e-01 +1.3767e-01 +2.5441e-01
3 +3.491127407e+06 +3.491127407e+06 +3.491447597e+06 +3.491447597e+06 +7.2790e-01 +6.9620e-01 +4.6362e-01 +5.4681e-01 +4.3405e-01 +4.2279e-01 +1.8743e-01 +3.6323e-01 +4.5594e-01 +5.1560e-02 +3.4124e-01 +2.2945e-01 +4.2869e-01 +6.2626e-01 +3.5828e-01 +8.0666e-01 +7.4531e-01 +3.3730e-02 +5.5065e-01 +9.3072e-01
201 +2.507078106e+06 +2.507078106e+06 +2.507398296e+06 +2.507398296e+06 +5.3571e-01 +1.6896e-01 +4.6940e-01 +1.5226e-01 +9.5128e-01 +1.2291e-01 +1.7503e-01 +3.6966e-01 +0.0000e+00 +9.0434e-01 +1.0000e+00 +1.0000e+00 +8.0946e-01 +5.3323e-02 +4.1288e-01 +1.0000e+00 +1.0000e+00 +7.2547e-01 +1.0000e+00 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.426977750e+07 +2.426977750e+07 +2.426967326e+07 +2.426967326e+07 +5.9295e-01 +2.3292e-01 +5.5367e-01 +2.8374e-01 +6.6008e-01 +7.2892e-01 +2.6868e-01 +9.3701e-01 +7.8035e-01 +3.3703e-01 +1.3899e-01 +6.5788e-01 +5.5040e-01 +3.2169e-01 +7.5081e-02 +2.8169e-01 +2.6905e-01 +5.5179e-01 +1.4823e-02 +4.4556e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.954952425e+06 +4.954952425e+06 +4.953952425e+06 +4.953952425e+06 +6.3919e-01 +9.4354e-02 +8.9537e-01 +1.6077e-02 +3.6551e-01 +3.1652e-01 +9.1207e-01 +7.8009e-02 +1.9546e-01 +2.7002e-02 +9.5864e-01 +6.9422e-01 +1.7992e-01 +5.4667e-01 +9.5882e-01 +2.2423e-01 +9.7119e-02 +6.8568e-01 +7.7440e-01 +1.3160e-01
4 +3.825314047e+06 +3.825314047e+06 +3.824314047e+06 +3.824314047e+06 +8.6288e-01 +5.0342e-01 +1.8449e-01 +7.5156e-01 +3.6477e-01 +7.1450e-01 +7.5017e-01 +6.1658e-01 +5.3637e-01 +6.2152e-01 +4.5071e-01 +8.8901e-01 +5.0597e-01 +7.0672e-01 +9.3479e-02 +7.8571e-01 +4.4840e-02 +3.4543e-01 +1.9094e-04 +3.9358e-01
% function evaluation | noise-free fitness - Fopt (-3.629000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.921029406e+06 +3.921029406e+06 +3.920993116e+06 +3.920993116e+06 +2.5320e-01 +9.2634e-01 +3.6498e-01 +6.2702e-01 +6.0451e-01 +4.0372e-01 +1.5514e-01 +6.3819e-01 +8.7339e-02 +2.0067e-01 +9.3814e-01 +3.3206e-02 +6.5005e-02 +4.9293e-01 +5.1826e-02 +6.2836e-01 +8.8642e-01 +4.8383e-01 +5.7914e-01 +8.1128e-01
75 +2.509805616e+06 +2.509805616e+06 +2.509769326e+06 +2.509769326e+06 +5.0000e-01 +7.4182e-02 +7.3342e-01 +3.5735e-01 +1.0161e-01 +5.3584e-02 +4.7065e-01 +0.0000e+00 +0.0000e+00 +6.9258e-01 +4.8578e-01 +1.9918e-01 +1.0000e+00 +3.0742e-01 +1.0000e+00 +1.2490e-01 +1.8265e-01 +1.0000e+00 +0.0000e+00 +2.3809e-01
% function evaluation | noise-free fitness - Fopt (-4.840000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.132452404e+06 +8.132452404e+06 +8.132404004e+06 +8.132404004e+06 +5.0127e-01 +1.6477e-01 +3.6439e-01 +5.6999e-01 +5.9738e-01 +7.5293e-01 +8.0206e-01 +9.5422e-01 +1.4059e-02 +9.0737e-01 +7.0252e-01 +3.7161e-01 +2.8026e-01 +6.3782e-01 +8.9881e-01 +5.1733e-01 +4.4335e-01 +7.8154e-01 +4.8928e-01 +9.9870e-01
4 +5.692567057e+06 +5.692567057e+06 +5.692518657e+06 +5.692518657e+06 +4.0610e-01 +7.0342e-01 +8.1791e-01 +8.7042e-01 +9.8641e-01 +9.5827e-02 +1.7358e-01 +2.8386e-01 +2.8935e-01 +8.8146e-01 +5.7658e-01 +7.5574e-01 +2.5013e-01 +3.2505e-01 +7.1652e-01 +4.5134e-01 +6.4888e-02 +3.7681e-01 +2.8541e-01 +4.5995e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.223189856e+06 +3.223189856e+06 +3.224189856e+06 +3.224189856e+06 +3.3889e-01 +2.1120e-01 +7.6595e-01 +6.6904e-01 +4.4965e-01 +3.0089e-01 +8.7439e-01 +3.9566e-01 +5.8442e-01 +1.5009e-01 +3.6241e-01 +7.6697e-01 +2.0394e-01 +4.0239e-01 +1.3270e-01 +5.8213e-01 +1.2951e-01 +9.4762e-01 +9.9323e-01 +6.1976e-01
21 +2.265932097e+06 +2.265932097e+06 +2.266932097e+06 +2.266932097e+06 +5.2204e-01 +6.2721e-01 +8.4885e-01 +1.6904e-01 +9.1647e-01 +4.8841e-01 +3.7439e-01 +2.7870e-01 +3.3708e-01 +4.7834e-01 +6.6064e-01 +1.0000e+00 +6.5385e-02 +3.4571e-01 +1.0916e-01 +3.2466e-01 +4.8930e-01 +4.4762e-01 +1.0000e+00 +1.0000e+00
174 +1.576115112e+06 +1.576115112e+06 +1.577115112e+06 +1.577115112e+06 +9.4689e-04 +0.0000e+00 +0.0000e+00 +1.0000e+00 +9.6751e-01 +0.0000e+00 +4.2431e-01 +5.1950e-01 +5.5601e-01 +1.0000e+00 +8.5039e-01 +0.0000e+00 +5.2019e-02 +3.8213e-02 +3.0919e-01 +1.0000e+00 +9.9589e-01 +1.0000e+00 +1.0000e+00 +9.9668e-01
% function evaluation | noise-free fitness - Fopt (3.261100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.746783677e+07 +2.746783677e+07 +2.746816288e+07 +2.746816288e+07 +1.1958e-01 +8.9640e-01 +4.7948e-01 +3.2089e-01 +6.1174e-01 +1.7319e-01 +8.1580e-01 +2.8531e-01 +2.6724e-01 +6.7428e-01 +5.4195e-01 +5.5669e-01 +7.5139e-01 +1.8256e-02 +6.4436e-01 +1.0581e-01 +4.9442e-01 +5.1252e-01 +9.8698e-01 +7.0504e-01
3 +2.385764696e+07 +2.385764696e+07 +2.385797307e+07 +2.385797307e+07 +5.6878e-02 +8.9001e-02 +9.6344e-01 +3.6376e-01 +2.3475e-01 +3.9280e-01 +8.8662e-01 +4.6383e-01 +7.4709e-01 +9.3818e-01 +3.5741e-01 +5.0541e-02 +1.6479e-01 +5.7453e-01 +5.9751e-01 +5.3427e-01 +3.3302e-02 +7.1635e-01 +7.9565e-01 +4.1535e-01
% function evaluation | noise-free fitness - Fopt (-4.682000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.399898590e+06 +9.399898590e+06 +9.399851770e+06 +9.399851770e+06 +8.4449e-01 +2.9670e-01 +7.4248e-01 +8.0405e-01 +2.1861e-01 +5.9842e-01 +5.2282e-01 +1.1211e-01 +2.5645e-01 +4.5110e-01 +2.0794e-01 +5.4930e-01 +3.7119e-01 +3.9890e-01 +5.5295e-01 +7.6818e-01 +6.4688e-01 +6.4761e-01 +2.5491e-01 +2.8684e-01
% function evaluation | noise-free fitness - Fopt (-5.563000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
